Frame,FPS,MemoryMB,BelowTarget
629,187.14,1508.28,0
630,187.19,1508.54,0
631,122.65,1508.60,0
632,180.67,1508.57,0
633,192.73,1508.65,0
634,130.15,1508.74,0
635,170.82,1508.86,0
636,154.46,1508.86,0
637,97.64,1508.57,0
638,142.10,1508.89,0
639,83.98,1508.50,0
640,105.04,1508.96,0
641,89.10,1508.81,0
642,131.73,1509.07,0
643,93.15,1508.93,0
644,144.02,1509.16,0
645,147.92,1509.17,0
646,116.01,1509.25,0
647,156.25,1509.28,0
648,113.69,1509.32,0
649,173.15,1509.32,0
650,171.71,1509.31,0
651,112.46,1509.24,0
652,187.74,1509.29,0
653,189.50,1509.38,0
654,127.24,1509.42,0
655,194.25,1509.45,0
656,192.15,1509.47,0
657,182.87,1509.49,0
658,120.20,1509.51,0
659,172.51,1509.60,0
660,189.29,1509.59,0
661,118.86,1509.63,0
662,157.22,1509.66,0
663,160.71,1509.77,0
664,112.53,1509.67,0
665,172.53,1509.79,0
666,177.31,1509.80,0
667,116.33,1509.85,0
668,143.16,1509.87,0
669,105.63,1509.88,0
670,144.62,1509.88,0
671,138.98,1509.85,0
672,93.87,1509.90,0
673,141.10,1509.94,0
674,97.89,1509.68,0
675,165.69,1509.98,0
676,176.67,1510.05,0
677,100.18,1510.09,0
678,118.51,1510.17,0
679,110.22,1510.44,0
680,183.28,1510.48,0
681,173.04,1510.45,0
682,119.08,1510.43,0
683,168.49,1510.41,0
684,153.00,1510.54,0
685,112.84,1510.54,0
686,176.07,1510.50,0
687,173.86,1510.56,0
688,118.78,1510.50,0
689,154.92,1510.53,0
690,158.23,1510.58,0
691,89.62,1510.63,0
692,136.10,1510.68,0
693,102.34,1510.69,0
694,150.99,1510.70,0
695,150.01,1510.69,0
696,116.41,1510.68,0
697,156.94,1510.70,0
698,109.15,1510.68,0
699,164.50,1510.79,0
700,168.59,1510.89,0
701,117.88,1510.99,0
702,168.59,1511.00,0
703,164.53,1510.99,0
704,104.38,1511.04,0
705,143.84,1511.07,0
706,148.50,1511.08,0
707,93.14,1511.17,0
708,134.90,1511.14,0
709,114.07,1511.14,0
710,174.25,1511.21,0
711,125.93,1511.25,0
712,Infinity,1511.43,0
713,Infinity,1511.97,0
714,Infinity,1512.11,0
715,Infinity,1511.56,0
716,Infinity,1512.13,0
717,Infinity,1512.42,0
718,Infinity,1512.38,0
719,Infinity,1512.66,0
720,Infinity,1512.77,0
721,Infinity,1512.91,0
722,Infinity,1513.04,0
723,Infinity,1513.16,0
724,Infinity,1513.30,0
725,Infinity,1513.43,0
726,Infinity,1513.49,0
727,Infinity,1513.30,0
728,Infinity,1513.75,0
729,Infinity,1513.82,0
730,Infinity,1514.11,0
731,Infinity,1514.22,0
732,Infinity,1514.37,0
733,Infinity,1514.23,0
734,Infinity,1514.64,0
735,Infinity,1514.75,0
736,Infinity,1514.87,0
737,Infinity,1514.99,0
738,Infinity,1515.12,0
739,Infinity,1515.23,0
740,Infinity,1515.35,0
741,Infinity,1515.43,0
742,Infinity,1515.53,0
743,Infinity,1515.58,0
744,Infinity,1515.70,0
745,Infinity,1515.82,0
746,Infinity,1515.96,0
747,Infinity,1516.04,0
748,Infinity,1516.08,0
749,Infinity,1516.22,0
750,Infinity,1516.30,0
751,Infinity,1516.40,0
752,Infinity,1516.52,0
753,Infinity,1516.65,0
754,Infinity,1516.62,0
755,Infinity,1516.87,0
756,Infinity,1516.97,0
757,Infinity,1517.13,0
